name,faceSrc,team,position,age,height,number,rating
Dontae Duff,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3910411.png&w=150,2335,5,21,6"1',56,60
Jonathan Graham,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365487.png&w=150,2335,5,18,6"5',52,60
Sam Isaacson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3910416.png&w=150,2335,5,21,6"7',73,60
Maisen Knight,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4245665.png&w=150,2335,5,20,6"5',75,60
John Kourtis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365491.png&w=150,2335,5,18,6"3',79,60
Cooper McCaw,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246906.png&w=150,2335,5,19,6"5',77,60
Nate Pena,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246910.png&w=150,2335,5,19,6"1',76,60
Thomas Sargeant,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029910.png&w=150,2335,5,20,6"1',65,60
Brendan Schlittler,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365501.png&w=150,2335,5,18,6"5',55,60
Tristan Schultz,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246916.png&w=150,2335,5,20,6"4',68,60
Tre'Shaun Clark,,2335,12,18,6"3',79,60
Vincent Elefante,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365482.png&w=150,2335,12,21,6"4',94,70
Dylan Gilfoy,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365485.png&w=150,2335,12,21,6"5',42,60
Jessie Lemonier,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365493.png&w=150,2335,12,21,6"3',11,82
Austin Lewis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365495.png&w=150,2335,12,19,6"6',44,71
Elisha Mitchell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246907.png&w=150,2335,12,19,6"3',97,66
Devin Pearson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365499.png&w=150,2335,12,21,5"11',34,67
Ralfs Rusins,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4060042.png&w=150,2335,12,20,6"5',99,76
Jayod Sanders,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246915.png&w=150,2335,12,20,6"2',15,69
Thaddius Watson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365505.png&w=150,2335,12,20,6"0',58,65
Mason Wolk,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246924.png&w=150,2335,12,19,6"1',92,66
Zack Amerson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426563.png&w=150,2335,10,18,6"4',40,60
Brayden Monday,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430181.png&w=150,2335,10,18,6"5',98,66
William Green,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570209.png&w=150,2335,13,19,6"6',93,60
Elijah James,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570210.png&w=150,2335,13,20,6"5',55,60
